"OBJECTTYPE","PROPERTY","DISPMODE","REQUIRED","HIDDEN","MAXVAL","MINVAL","MAXLEN","FORMAT","FORMATDESC","HASDEPENDANT","HASHIDDENDEPENDANT"
"CFProcess.Workflow.Insurance","PermanentAddress","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.Insurance","FacilityAmount","READWRITE","0","0",1000000000,0,0,"","","0",""
"CFProcess.Workflow.Insurance","FacilityNumber","READWRITE","0","0",0,0,0,"\d{9}","9 - NUMBER","0",""
"CFProcess.Workflow.Insurance","EquipmentType","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.Insurance","Vehicle NoReferance No","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.Insurance","Make","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.Insurance","Model","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.Insurance","ChassisNo","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.Insurance","EngineNo","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.Insurance","FirstRegDate","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.Insurance","YearOfManufacture","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.Insurance","SeatingCapacity","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.Insurance","Weight","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.Insurance","Colour","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.Insurance","CylinderCapacity","READWRITE","0","0",0,0,0,"","","0",""
"CFProcess.Workflow.BranchManager","VATPercentage","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.BranchManager","SellingPrice","READWRITE","1","0",0,0,16,"","","0",""
"CFProcess.Workflow.BranchManager","Period","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.CreditBoard","PrePaidRentals","READWRITE","1","0",999,0,3,"","","0",""
"CFProcess.Workflow.CreditBoard","IntrestRate","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.CreditBoard","LoanAmount","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.CreditBoard","LoanIntrestRate","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.CreditBoard","Rental","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.CreditBoard","LoanRental","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.CreditBoard","ResidualAmount","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.CreditBoard","MarketingOfficer","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.CreditBoard","Purpose","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.CreditBoard","InsuranceAmt","READWRITE","1","0",0,0,16,"","","0",""
"CFProcess.Workflow.CreditBoard","LFOrHPCommission","READWRITE","1","0",0,0,16,"","","0",""
"CFProcess.Workflow.HigherApproval","Reason","READWRITE","1","0",0,0,250,"","","0",""
"CFProcess.Workflow.Justification","SectorCode","READWRITE","1","0","","","","","","1",""
"CFProcess.Workflow.Justification","TotalIncome","READWRITE","0","0",0,0,16,"^([0-9]{1,3},([0-9]{3},)?[0-9]{3}|[0-9]+)(.[0-9][0-9])?$"," FORMAT- 999999999.99","0",""
"CFProcess.Workflow.Justification","Product","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.Justification","LeaseType","READWRITE","1","0",0,0,16,"","","0",""
"CFProcess.Workflow.Justification","ProductSubType","READWRITE","1","0",0,0,0,"","","1",""
"CFProcess.Workflow.Justification","RepayType","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.Justification","PaymentType","READWRITE","1","0",0,0,0,"","","0",""
"CFProcess.Workflow.Justification","CommissionTypes","readwrite","1","0",0,0,16,"","","1",""
"CFProcess.Workflow.Justification","Origin","READWRITE","1","0",0,0,16,"","","0",""
"CFProcess.Workflow.PaymentMemo","PaymentType","READWRITE","1","0",0,0,16,"","","0",""
"CFProcess.Workflow.Justification","SubSectorCode","READWRITE","1","0",200,1,200,"","","0",""
"CFProcess.Workflow.Justification","HouseRent","READWRITE","0","0",0,0,16,"^([0-9]{1,3},([0-9]{3},)?[0-9]{3}|[0-9]+)(.[0-9][0-9])?$"," FORMAT- 999999999.99","0",""
"SupplierRegistration","ChassisNo","READWRITE","1","0",30,0,"","","","0",""
"SupplierRegistration","EngineNo","READWRITE","1","0",30,0,"","","","0",""
"SupplierRegistration","VehicleRegistrationNo","READWRITE","1","0",9,0,"","","","0",""
"SupplierRegistration","PayeeAddress1","READWRITE","1","0",0,0,250,"","","0",""
"SupplierRegistration","PayeeAddress2","READWRITE","1","0",0,0,250,"","","0",""
"SupplierRegistration","PaymentSMSNO","READWRITE","0","0",0,0,9,"\d{9}","9-NUMERIC","",""
"SupplierRegistration","NICBRno1","READWRITE","1","0",0,0,10,"^\d{9}(X|V)$","9-Numeric X-LETTER","0",""
"SupplierRegistration","NICBRno2","READWRITE","1","0",0,0,10,"^\d{9}(X|V)$","9-Numeric X-LETTER","0",""
"SupplierRegistration","PaymentMode1","READWRITE","1","0",0,0,"","","","0",""
"SupplierRegistration","PaymentMode2","READWRITE","1","0",0,0,"","","","0",""
"SupplierRegistration","Accountno1","READWRITE","1","0",0,0,"","","","0",""
"SupplierRegistration","Accountno2","READWRITE","1","0",0,0,"","","","0",""
"SupplierRegistration","Amount1","READWRITE","1","0",0,0,"","","","0",""
"SupplierRegistration","Amount2","READWRITE","1","0",0,0,"","","","0",""
"CFProcess.Workflow.BranchManager","TotalIncome","READWRITE","0","0",0,0,16,"","","0",""
"CFProcess.Workflow.BranchManager","CustomerName","READWRITE","1","0",0,0,250,"","","0",""
"CFProcess.Workflow.CreditBoard","OtherIncome","READWRITE","0","0",0,0,16,"","","0",""
"CFProcess.Workflow.CreditBoard","LoanAndLeaseRePayment","READWRITE","0","0",0,0,16,"","","0",""
"CFProcess.Workflow.CreditBoard","Period","READWRITE","1","0",999,0,3,"","","0",""
"EmployeeIncomeDetails","EmployersNameAddress","READWRITE","0","0",0,0,150,"","","0",""
"EmployeeIncomeDetails","EmployersTPNO","READWRITE","0","0",0,0,9,"\d{9}","9-NUMBER","0",""
"EmployeeIncomeDetails","DurationOfEmployment","READWRITE","0","0",99,0,20,"","","0",""
"EmployeeIncomeDetails","IncomeFromEmployment","READWRITE","0","0",1000000000,0,16,"","","0",""
"EmployeeIncomeDetails","Allowance","READWRITE","0","0",1000000000,0,16,"","","0",""
"EmployeeIncomeDetails","OtherIncome","READWRITE","0","0",1000000000,0,16,"","","0",""
"EmployeeIncomeDetails","TotalIncome","READWRITE","0","0",1000000000,0,16,"","","0",""
"PropertyDetails","Test","READWRITE","1","0",0,0,20,"","","0",""
"Partnership","ContactPersonTPNo","READWRITE","0","0",0,0,9,"\d{9}","9-NUMBER","0",""
"Partnership","ContactPersonFaxNo","READWRITE","0","0",0,0,9,"\d{9}","9-NUMBER","0",""
"LimitedLiabilityCompany","ContactPersonTPNo","READWRITE","0","0",0,0,9,"\d{9}","9-NUMBER","0",""
"LimitedLiabilityCompany","ContactPersonFaxNo","READWRITE","0","0",0,0,9,"\d{9}","9-NUMBER","0",""
"CFProcess.Workflow.Justification","LoanAmount","readonly","0","0",1000000000,0,"","","","0",""
"CFProcess.Workflow.Justification","LoanIntrestRate","READWRITE","1","0",0,0,"","","","0",""
"CFProcess.Workflow.Justification","Rental","READWRITE","1","0",0,0,"","","","0",""
"CFProcess.Workflow.Justification","LoanRental","readonly","0","0",0,0,"","","","0",""
"CFProcess.Workflow.Justification","ResidualAmount","READWRITE","1","0",0,0,"","","","0",""
"CFProcess.Workflow.Justification","MarketingOfficer","READWRITE","1","0",0,0,"","","","0",""
"IndividualDetails","Title","READWRITE","0","0",0,0,10,"","","0",""
"IndividualDetails","Gender","READWRITE","0","0",0,0,0,"","","0",""
"IndividualDetails","CivilStatus","READWRITE","0","0",0,0,0,"","","0",""
"IndividualDetails","OccupationOrProfession","READWRITE","0","0",0,0,0,"","","0",""
"IndividualDetails","PartnerType","READWRITE","0","0",0,0,0,"","","0",""
"IndividualDetails","ProficientCode","READWRITE","0","0",0,0,0,"","","0",""
"IndividualDetails","PreferedLanguage","READWRITE","0","0",0,0,0,"","","0",""
"IndividualDetails","TaxPayer","READWRITE","0","0",0,0,0,"","","0",""
"IndividualDetails","CRIBClearance","READWRITE","0","0",0,0,0,"","","0",""
"IndividualDetails","BlackListClearance","READWRITE","0","0",0,0,0,"","","0",""
"IndividualDetails","PreviouslyRejected","READWRITE","0","0",0,0,0,"","","0",""
"IndividualDetails","NationalID","READWRITE","1","0",0,0,10,"^\d{9}(X|V)$","9-NUMERIC,X-LETTER","",""
"IndividualDetails","NameInFull","READWRITE","1","0",0,0,250,"","","",""
"IndividualDetails","DateOfBirth","READWRITE","1","0",0,0,10,"","","",""
"IndividualDetails","StaffMember","READWRITE","1","0",0,0,"","","","",""
"CFProcess.Workflow.Justification","Purpose","READWRITE","1","0",0,0,"","","","0",""
"CFProcess.Workflow.Justification","InsuranceAmt","READWRITE","1","0",0,0,16,"^([0-9]{1,3},([0-9]{3},)?[0-9]{3}|[0-9]+)(.[0-9][0-9])?$"," FORMAT- 999999999.99","0",""
"CFProcess.Workflow.Justification","LFOrHPCommission","READWRITE","1","0",0,0,16,"^([0-9]{1,3},([0-9]{3},)?[0-9]{3}|[0-9]+)(.[0-9][0-9])?$"," FORMAT- 999999999.99","0",""
"CFProcess.Workflow.Justification","SLCommission","READWRITE","1","0",0,0,"","^([0-9]{1,3},([0-9]{3},)?[0-9]{3}|[0-9]+)(.[0-9][0-9])?$"," FORMAT- 999999999.99","0",""
"CFProcess.Workflow.Justification","TotalCommission","READWRITE","1","0",0,0,"","^([0-9]{1,3},([0-9]{3},)?[0-9]{3}|[0-9]+)(.[0-9][0-9])?$"," FORMAT- 999999999.99","0",""
"CFProcess.Workflow.Justification","ExposureOnSVRPercentage","READWRITE","1","0",0,0,"","","","0",""
"CFProcess.Workflow.Justification","ToRS","READWRITE","1","0",0,0,16,"^([0-9]{1,3},([0-9]{3},)?[0-9]{3}|[0-9]+)(.[0-9][0-9])?$"," FORMAT- 999999999.99","0",""
"CFProcess.Workflow.Justification","IncomeFromEmployment","READWRITE","0","0",0,0,16,"^([0-9]{1,3},([0-9]{3},)?[0-9]{3}|[0-9]+)(.[0-9][0-9])?$"," FORMAT- 999999999.99","0",""
"CFProcess.Workflow.Justification","Allowance","readwrite","0","0",0,0,16,"^([0-9]{1,3},([0-9]{3},)?[0-9]{3}|[0-9]+)(.[0-9][0-9])?$"," FORMAT- 999999999.99","0",""
"CFProcess.Workflow.Justification","IncomeFromBusiness","READWRITE","0","0",0,0,16,"^([0-9]{1,3},([0-9]{3},)?[0-9]{3}|[0-9]+)(.[0-9][0-9])?$"," FORMAT- 999999999.99","0",""
